uin_,nickname_,title_,vid_,duration_
10884065,苏世林,毛主席晚年照片，看哭了所有人！,ugc_59cmu2,161
10884065,苏世林,今天山东、江苏、广东都出现了，删前速看！,ugc_8yptkf,134
10884065,苏世林,发个搞笑视频，给群友们带点乐趣,ugc_0cyjcr,85
10884065,苏世林,发个搞笑视频，给群友们带点乐趣,ugc_fk3fhd,168
10884065,苏世林,发个搞笑视频，给群友们带点乐趣,ugc_5qp4f1,102
10884065,苏世林,发个搞笑视频，给群友们带点乐趣,ugc_blgwfr7,93
10884065,苏世林,发个搞笑视频，给群友们带点乐趣,ugc_bqcw0ii,93
10884065,苏世林,发个搞笑视频，给群友们带点乐趣,ugc_brhbtmo,99
10884065,苏世林,发个搞笑视频，给群友们带点乐趣,ugc_idrnb9,89
10884065,苏世林,发个搞笑视频，给群友们带点乐趣,ugc_9mdup0,136
10884065,苏世林,就在刚刚，雷神山院长宣布,ugc_x5veiz,172
11330541,葛远东,,ugc_bcmvpk8,192
11330541,葛远东,,ugc_blhk0cj,129
11330541,葛远东,,ugc_yqijdy,124
11330541,葛远东,,ugc_moete2,130
11330541,葛远东,,ugc_buwqyjn,161
11330541,葛远东,,ugc_d6p3oe,182
11330541,葛远东,,ugc_fqmkhi,10
11330541,葛远东,,ugc_btvqsm9,294
11330541,葛远东,,ugc_zbde4g,60
11330541,葛远东,,ugc_vh1zio,170
11330541,葛远东,,ugc_l6dhp1,311
11455487,昆明市官渡区环城巷美树星城A座403,🌸 🌸 小欧眉之所以火🌸;是因为太适合亚洲人面部轮廓～;介于标准眉和上扬眉之间;弧度刚好适中;增加了面部的立体感且又,ugc_4h6irh,13
12084204,李玉玲,,ugc_bev75cz,34
12084204,李玉玲,,ugc_mbo6t4,48
12743644,武,,ugc_bw6b3fn,14
13233246,四海为家,,ugc_rf3put,15
13233246,四海为家,,ugc_bl7bd0t,15
13894139,美丽鲜花,,ugc_beqhtq1,59
14265161,爸爸_夕阳红,,ugc_bfaxmtc,187
14332100,老太太,,ugc_1q112,15
15238681,陳飛,,ugc_6h2vmt,15
15238681,陳飛,,ugc_63lb24,7
15702574,贾清海,,ugc_umjv7m,15
15850544,延寿玉兰,,ugc_1fidvr,30
15850544,延寿玉兰,,ugc_bopb0vq,204
15850544,延寿玉兰,,ugc_uzjud,35
15850544,延寿玉兰,,ugc_b8q9ql7,15
18933589,未来更美好,,ugc_q9zm0e,18
18933589,未来更美好,,ugc_dzanoz,44
18933589,未来更美好,,ugc_vdoxzk,17
18933589,未来更美好,,ugc_b5eguby,249
18933589,未来更美好,,ugc_xblv96,28
18933589,未来更美好,,ugc_uhjyu3,15
18933589,未来更美好,,ugc_bm9yr1y,11
18933589,未来更美好,,ugc_bdlses4,47
18933589,未来更美好,,ugc_jdpx7w,12
18933589,未来更美好,,ugc_n3idn7,15
18933589,未来更美好,,ugc_bk0i81k,15
18933589,未来更美好,,ugc_4cqu0x,15
18933589,未来更美好,,ugc_b5wmjoq,26
19653390,明天更美好,,ugc_4zud6a,8
21420790,建华,社区防控好，新冠病毒就会死光光。,ugc_bsz2mth,23
21420790,建华,有活力的蝴蝶🌸,ugc_iqxhc3,15
21420790,建华,小小舞蹈家,ugc_b59xemk,12
23201644,四季平安,,ugc_bzpr6fl,60
23388729,小向,,ugc_bjlodku,10
23388729,小向,,ugc_g303bg,15
23388729,小向,,ugc_qaarpc,18
23512168,刘桂荣,,ugc_2ewa8o,15
24364804,芳芳,,ugc_bgait7e,51
24893224, 晓玉🌶,桥边姑娘🌺 简单的32步😘 💃,ugc_j0or3x,155
24893224, 晓玉🌶,跳到北京💃 💃 💃,ugc_bx5ja7m,195
25035763,孙贵周~上帝是我的避难所,,ugc_bokwe5z,180
25697004,开心每一天,,ugc_bu5f7a2,63
25697004,开心每一天,,ugc_2xftey,17
25741643,問壹得叄,,ugc_boinxde,236
25880975,kiss.Pjj,,ugc_0w13pj,26
25880975,kiss.Pjj,,ugc_mcwu1g,62
28085316,蓝天,,ugc_bv7iwt3,15
28300863,🌅 岁月如歌🌈,,ugc_3x8755,201
28300863,🌅 岁月如歌🌈,,ugc_b0veowp,118
28300863,🌅 岁月如歌🌈,二月二龙抬头,ugc_qltqln,84
28300863,🌅 岁月如歌🌈,搞笑视频,ugc_ppmsda,141
28300863,🌅 岁月如歌🌈,送给群,ugc_bur82qj,122
28300863,🌅 岁月如歌🌈,导航。搞笑视频,ugc_b4c75qf,127
28300863,🌅 岁月如歌🌈,唱的好听好听啊,ugc_wnitw3,123
28300863,🌅 岁月如歌🌈,,ugc_b2fxmkx,99
28300863,🌅 岁月如歌🌈,搞笑视频合成看一看,ugc_bes49n,125
28300863,🌅 岁月如歌🌈,自作自受。,ugc_b6y2of6,122
28300863,🌅 岁月如歌🌈,搞笑视频。,ugc_yibzk7,134
28300863,🌅 岁月如歌🌈,,ugc_bfqbd16,114
28300863,🌅 岁月如歌🌈,,ugc_bpksnu7,191
28300863,🌅 岁月如歌🌈,,ugc_bmr7azf,53
28300863,🌅 岁月如歌🌈,,ugc_bct1ik5,59
28300863,🌅 岁月如歌🌈,搞笑视频合成看一看,ugc_bp97u54,180
28300863,🌅 岁月如歌🌈,毛主席心中的红太阳！,ugc_batooou,238
28300863,🌅 岁月如歌🌈,战友情,ugc_88rlwd,235
29013120,國,,ugc_bpxf0ac,28
29864040,百家菜餐馆,,ugc_bu4sdyd,88
29877577,离别的站台，舟舟妈妈,,ugc_w6e7l,9
29877577,离别的站台，舟舟妈妈,,ugc_kr0l9i,59
30653650,良明,我爱我的祖,ugc_b5s8w4u,16
31196907,任芳,,ugc_0yw386,807
31486918,上帝之子,,ugc_ktffx9,22
31486918,上帝之子,赞美耶稣！哈利路亚！阿们,ugc_bd2vrot,20
31486918,上帝之子,赞美耶稣！哈利路亚！阿们,ugc_saphlb,33
31486918,上帝之子,赞美耶稣！哈利路亚！阿们,ugc_n30ol9,17
31486918,上帝之子,赞美耶稣！哈利路亚！阿们,ugc_3a7n21,22
32120559,出淤泥而不染,,ugc_gympgf,109
32675656,刘,,ugc_q8ms3s,74
33559636,卢定海的姑姑，雨后彩虹，,早上好！模仿短视频。友友们能给一个支持和鼓励吗？带来一声温馨的问候。真好！,ugc_yajfru,57
33813453,夕阳无限好,,ugc_vwu2n2,11
35810425,三人童心 张博文,小升初文言文过关:《郑人买履》,ugc_5y0jdy,44
36889682,王庆凤,,ugc_beyr6jc,3
37266736,可爱的小公主,,ugc_ptcso4,9
37266736,可爱的小公主,,ugc_brtlm56,24
38215315,小佟布料店,好开心,ugc_b135m1s,14
38731006,世界第一人,,ugc_tlpqdk,17
